domain,sourceName,count,groupby_label
timesandstar.co.uk,The Cumberland News,1,188
timesandstar.co.uk,Times & Star,1524,189
trust.org,Alert Net,15135,189
trust.org,Reuters AlertNet,8561,190
twitter.com,@W_Nuclear_News,428,191
twitter.com,Campaign for Nuclear Disarmament (CND) Twitter,334,192
twitter.com,Look Left Mag on Twitter,177,193
twitter.com,UK Uncut on Twitter,2491,194
twitter.com,Unite Against Fascism on Twitter,312,195
tyronetimes.co.uk,Ilkeston Advertiser,1,196
tyronetimes.co.uk,Tyrone Times,3689,196
wscountytimes.co.uk,Banbury Guardian,642,197
wscountytimes.co.uk,West Sussex County Times,851,198
yourlocalguardian.co.uk,Epsom Guardian,3002,199
yourlocalguardian.co.uk,Guardian Local,3023,200
yourlocalguardian.co.uk,Kingston Guardian,2964,201
yourlocalguardian.co.uk,Wimbledon Guardian,210,202
