,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts
Horticulture Week,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.0,0.0,0.0,0.0
Hucknall Dispatch,0.0,0.0,0.0,0.0,2797.0,927.0,2018.0,0.0,0.0,945.0,763.0,0.0,0.0
Hull Daily Mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7516.0,10973.0,0.0,0.0
Hunts Post,0.0,0.0,0.0,0.0,319.0,779.0,1794.0,0.0,1.0,540.0,935.0,1007.0,0.0
IC Newcastle,0.0,0.0,0.0,14.0,23515.0,7510.0,1376.0,0.0,6.0,1700.0,16.0,0.0,0.0
IC Teesside,0.0,0.0,0.0,9.0,1969.0,2260.0,3348.0,0.0,0.0,0.0,0.0,0.0,0.0
ITN News,0.0,0.0,0.0,0.0,8466.0,15734.0,13744.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilford Recorder,0.0,0.0,0.0,0.0,908.0,1265.0,1660.0,1.0,0.0,345.0,736.0,1010.0,0.0
Ilkeston Advertiser,1.0,0.0,0.0,0.0,791.0,1048.0,895.0,0.0,4.0,804.0,1810.0,0.0,0.0
Ilkley Gazette,0.0,0.0,0.0,0.0,1371.0,1229.0,842.0,0.0,0.0,2198.0,0.0,0.0,0.0
Impartial Reporter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1894.0,64.0,0.0,0.0
In The News,0.0,0.0,0.0,3.0,72.0,17895.0,17762.0,0.0,0.0,690.0,0.0,0.0,0.0
Inspire Magazine,0.0,0.0,0.0,0.0,308.0,1016.0,887.0,0.0,0.0,250.0,0.0,0.0,0.0
Insurance Insight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1258.0,0.0,0.0
International Business Times,0.0,0.0,0.0,0.0,0.0,23542.0,15598.0,0.0,0.0,23278.0,3029.0,18224.0,1464.0
Isle of Wight County Press,0.0,0.0,0.0,0.0,578.0,2769.0,4400.0,0.0,0.0,1304.0,2633.0,1654.0,0.0
Journal Live,0.0,0.0,0.0,0.0,2890.0,3558.0,4789.0,0.0,0.0,8021.0,745.0,0.0,0.0
Kenilworth Weekly News,0.0,0.0,0.0,0.0,0.0,950.0,6701.0,0.0,0.0,611.0,536.0,0.0,0.0
Kingston Guardian,0.0,0.0,0.0,0.0,3066.0,3320.0,330.0,33.0,454.0,2574.0,1546.0,961.0,0.0
Lancashire Evening Post,0.0,0.0,0.0,10.0,9846.0,9708.0,8091.0,0.0,19.0,4883.0,6361.0,1573.0,0.0
Lancashire Evening Telegraph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4313.0,3670.0,2.0,0.0
Lancashire Telegraph,0.0,2.0,0.0,5.0,11787.0,19978.0,18429.0,142.0,666.0,1893.0,5522.0,6005.0,0.0
Leamington Observer,0.0,0.0,0.0,0.0,0.0,893.0,0.0,0.0,0.0,71.0,776.0,611.0,46.0
Leicester Mercury,0.0,0.0,0.0,0.0,0.0,0.0,1124.0,0.0,0.0,10574.0,9246.0,0.0,0.0
Leicester Sound,0.0,0.0,0.0,0.0,1249.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leigh Journal,0.0,0.0,0.0,64.0,3221.0,9043.0,2862.0,33.0,57.0,2093.0,1364.0,719.0,0.0
Lincolnshire Echo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4529.0,7310.0,0.0,0.0
Lisburn Today,0.0,0.0,0.0,15.0,3731.0,2791.0,2782.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool Daily Post,0.0,0.0,0.0,0.0,11083.0,12704.0,15284.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool Echo,0.0,0.0,0.0,0.0,2.0,1226.0,725.0,6.0,29.0,29349.0,2354.0,0.0,0.0
Local London,0.0,0.0,0.0,0.0,0.0,21.0,3.0,5.0,14.0,2813.0,5825.0,4624.0,0.0
London Turkish Gazette,0.0,0.0,0.0,0.0,0.0,222.0,810.0,0.0,0.0,158.0,0.0,0.0,0.0
Louth Leader,0.0,0.0,0.0,0.0,6513.0,12784.0,14477.0,0.0,0.0,88.0,1640.0,0.0,0.0
Lurgan Mail,0.0,0.0,1.0,1.0,369.0,1129.0,763.0,4.0,10.0,1396.0,2307.0,0.0,0.0
Luton News Herald and Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.0,0.0,0.0,0.0
Lynn News,0.0,0.0,0.0,0.0,1814.0,0.0,0.0,0.0,0.0,2397.0,0.0,0.0,0.0
Manchester Evening News,13.0,26.0,38.0,165.0,22701.0,11.0,10.0,4.0,46.0,11951.0,944.0,0.0,0.0
Mansfield Today,0.0,0.0,0.0,0.0,7490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mansfield and Ashfield Chad,0.0,0.0,0.0,0.0,2163.0,6.0,0.0,0.0,91.0,1794.0,1639.0,100.0,4.0
Matlock Mercury,0.0,0.0,0.0,1.0,925.0,0.0,0.0,0.0,1.0,879.0,1505.0,0.0,0.0
Melton Times,0.0,0.0,0.0,1.0,1876.0,2.0,0.0,0.0,1.0,2599.0,1411.0,0.0,0.0
Metro - London,0.0,0.0,0.0,0.0,29066.0,3.0,0.0,0.0,0.0,3178.0,6216.0,4699.0,309.0
Morning Star Online,0.0,0.0,0.0,0.0,1286.0,0.0,1.0,0.0,0.0,2981.0,5674.0,0.0,0.0
Morpeth Herald,0.0,0.0,0.0,4.0,1493.0,3.0,0.0,0.0,0.0,120.0,1814.0,0.0,0.0
Newbury Today,0.0,0.0,26.0,40.0,373.0,45.0,54.0,46.0,65.0,1333.0,2294.0,1362.0,0.0
Newham Recorder,0.0,0.0,0.0,0.0,1445.0,2.0,0.0,0.0,0.0,1147.0,1517.0,1135.0,0.0
Newry Democrat,2.0,0.0,1.0,14.0,1005.0,0.0,0.0,2.0,14.0,422.0,366.0,122.0,0.0
News & Star,0.0,2.0,4.0,32.0,15151.0,1.0,0.0,5422.0,6176.0,4499.0,1559.0,6.0,0.0
News Guardian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.0,0.0,0.0
News Post Leader,0.0,0.0,0.0,0.0,1643.0,4289.0,1854.0,844.0,2276.0,474.0,678.0,0.0,0.0
News Shopper,0.0,0.0,0.0,0.0,4263.0,0.0,0.0,0.0,3.0,872.0,1884.0,3162.0,0.0
News Wales,0.0,0.0,0.0,0.0,1983.0,0.0,0.0,1.0,20.0,684.0,0.0,0.0,0.0
NewsNet Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,659.0,2233.0,2046.0,0.0
North Tyneside Today,0.0,0.0,0.0,0.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales Chronicle,0.0,0.0,0.0,0.0,3053.0,0.0,0.0,9.0,12.0,734.0,456.0,610.0,0.0
North-West Evening Mail,0.0,0.0,0.0,0.0,3691.0,0.0,0.0,0.0,5.0,2341.0,1331.0,1834.0,71.0
Northampton Chronicle & Echo,0.0,0.0,0.0,0.0,6837.0,0.0,0.0,0.0,0.0,3147.0,6797.0,2917.0,153.0
Northamptonshire Evening Telegraph,0.0,0.0,0.0,0.0,1282.0,0.0,0.0,0.0,0.0,2059.0,0.0,0.0,0.0
Northern Ireland Executive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,2208.0,2193.0,146.0
Northumberland Gazette,0.0,0.0,0.0,0.0,3438.0,1.0,1.0,0.0,16.0,716.0,1047.0,0.0,0.0
Norwich Evening News 24,0.0,0.0,0.0,0.0,2378.0,6415.0,7671.0,0.0,1.0,5121.0,5113.0,6035.0,440.0
Nottingham Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8456.0,14544.0,0.0,0.0
Ongar Guardian,0.0,0.0,0.0,0.0,2978.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Open Democracy,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,15.0,1008.0,0.0,0.0,0.0
